frame,center
1,147.0
2,147.0
3,144.0
4,144.0
5,143.0
6,142.0
7,140.0
8,142.0
9,143.0
10,142.0
11,142.0
12,142.0
13,144.0
14,143.0
15,143.0
16,142.0
17,140.0
18,140.0
19,139.0
20,140.0
21,141.0
22,139.0
23,139.0
24,138.0
25,140.0
26,139.0
27,140.0
28,142.0
29,144.0
30,144.0
31,143.0
32,145.0
33,143.0
34,146.0
35,146.0
36,147.0
37,148.0
38,149.0
39,149.0
40,148.0
41,147.0
42,148.0
43,149.0
44,148.0
45,147.0
46,147.0
47,144.0
48,145.0
49,144.0
50,143.0
51,143.0
52,145.0
53,142.0
54,141.0
55,139.0
56,138.0
57,137.0
58,137.0
59,138.0
60,139.0
61,139.0
62,142.0
63,144.0
64,145.0
65,146.0
66,147.0
67,148.0
68,149.0
69,148.0
70,148.0
71,147.0
72,149.0
