frame,center
1,138.0
2,136.0
3,136.0
4,135.0
5,135.0
6,137.0
7,139.0
8,137.0
9,136.0
10,135.0
11,136.0
12,136.0
13,138.0
14,138.0
15,136.0
16,137.0
17,138.0
18,139.0
19,139.0
20,139.0
21,141.0
22,141.0
23,140.0
24,138.0
25,140.0
26,139.0
27,140.0
28,140.0
29,139.0
30,140.0
31,139.0
32,137.0
33,138.0
34,139.0
35,139.0
36,139.0
37,139.0
38,138.0
39,138.0
40,138.0
41,137.0
42,137.0
43,138.0
44,139.0
45,139.0
46,138.0
47,139.0
48,140.0
49,141.0
50,141.0
51,142.0
52,144.0
53,144.0
54,146.0
55,145.0
56,141.0
57,140.0
58,141.0
59,141.0
60,141.0
61,140.0
62,140.0
63,140.0
64,139.0
65,137.0
66,138.0
67,138.0
68,141.0
69,139.0
70,140.0
71,140.0
72,141.0
73,140.0
74,139.0
75,144.0
76,146.0
77,146.0
