frame,center
1,134.0
2,131.0
3,130.0
4,131.0
5,131.0
6,132.0
7,131.0
8,132.0
9,133.0
10,133.0
11,139.0
12,135.0
13,133.0
14,137.0
15,139.0
16,135.0
17,136.0
18,135.0
19,139.0
20,139.0
21,134.0
22,136.0
23,138.0
24,137.0
25,137.0
26,137.0
27,136.0
28,136.0
29,136.0
30,136.0
31,135.0
32,134.0
33,129.0
34,129.0
35,131.0
36,132.0
37,128.0
38,130.0
39,130.0
40,132.0
41,135.0
42,137.0
43,140.0
44,140.0
45,143.0
46,144.0
47,143.0
48,143.0
49,143.0
50,144.0
51,144.0
52,146.0
53,147.0
54,149.0
55,149.0
56,148.0
57,148.0
58,148.0
59,148.0
60,135.0
61,135.0
62,137.0
63,136.0
64,137.0
65,135.0
