frame,center
1,197.0
2,198.0
3,198.0
4,197.0
5,198.0
6,197.0
7,197.0
8,195.0
9,196.0
10,196.0
11,197.0
12,198.0
13,196.0
14,198.0
15,199.0
16,199.0
17,198.0
18,199.0
19,199.0
20,200.0
21,199.0
22,200.0
23,199.0
24,200.0
25,198.0
26,198.0
27,202.0
28,201.0
29,199.0
30,199.0
31,198.0
32,197.0
33,197.0
34,197.0
35,195.0
36,196.0
37,195.0
38,195.0
39,196.0
40,199.0
41,198.0
42,198.0
43,198.0
44,198.0
45,199.0
46,197.0
47,197.0
48,196.0
49,193.0
50,192.0
51,192.0
52,190.0
53,190.0
54,191.0
55,192.0
56,192.0
57,190.0
58,191.0
59,190.0
60,192.0
61,195.0
62,197.0
63,203.0
64,207.0
65,207.0
66,205.0
67,205.0
68,206.0
69,205.0
70,201.0
71,203.0
72,199.0
