frame,center
1,226.0
2,225.0
3,225.0
4,224.0
5,225.0
6,225.0
7,225.0
8,225.0
9,226.0
10,225.0
11,224.0
12,225.0
13,225.0
14,224.0
15,228.0
16,226.0
17,225.0
18,224.0
19,224.0
20,223.0
21,227.0
22,223.0
23,227.0
24,227.0
25,226.0
26,226.0
27,226.0
28,226.0
29,226.0
30,226.0
31,226.0
32,226.0
33,224.0
34,223.0
35,224.0
36,223.0
37,223.0
38,223.0
39,223.0
40,226.0
41,227.0
42,226.0
43,226.0
44,225.0
45,226.0
46,226.0
47,220.0
48,227.0
49,226.0
50,227.0
51,226.0
52,226.0
53,226.0
54,226.0
55,226.0
56,226.0
57,226.0
58,229.0
59,227.0
60,227.0
61,227.0
62,228.0
63,226.0
64,225.0
65,224.0
66,224.0
67,223.0
68,226.0
69,226.0
70,225.0
