frame,center
1,342.0
2,338.0
3,316.0
4,322.0
5,323.0
6,325.0
7,324.0
8,328.0
9,330.0
10,326.0
11,333.0
12,333.0
13,333.0
14,333.0
15,336.0
16,335.0
17,335.0
18,336.0
19,334.0
20,337.0
21,338.0
22,338.0
23,338.0
24,339.0
25,342.0
26,347.0
27,353.0
28,353.0
29,352.0
30,354.0
31,354.0
32,355.0
33,352.0
34,347.0
35,346.0
36,344.0
37,343.0
38,342.0
39,339.0
40,342.0
41,342.0
42,341.0
43,338.0
44,340.0
45,339.0
46,341.0
47,346.0
48,344.0
49,351.0
50,351.0
51,348.0
52,346.0
53,343.0
54,341.0
55,339.0
56,338.0
57,339.0
58,339.0
59,336.0
60,336.0
61,336.0
