frame,center
1,341.0
2,340.0
3,340.0
4,338.0
5,339.0
6,341.0
7,339.0
8,339.0
9,341.0
10,342.0
11,340.0
12,340.0
13,340.0
14,340.0
15,337.0
16,340.0
17,341.0
18,338.0
19,340.0
20,338.0
21,338.0
22,338.0
23,339.0
24,339.0
25,336.0
26,339.0
27,339.0
28,341.0
29,341.0
30,340.0
31,340.0
32,339.0
33,340.0
34,339.0
35,339.0
36,337.0
37,337.0
38,338.0
39,339.0
40,340.0
41,341.0
42,348.0
43,359.0
44,390.0
45,396.0
46,414.0
47,416.0
48,425.0
49,425.0
50,427.0
51,424.0
52,434.0
53,415.0
54,426.0
55,429.0
56,436.0
57,423.0
58,419.0
59,398.0
60,380.0
61,371.0
