frame,center
1,212.0
2,210.0
3,208.0
4,207.0
5,212.0
6,213.0
7,212.0
8,211.0
9,213.0
10,208.0
11,208.0
12,212.0
13,211.0
14,205.0
15,206.0
16,207.0
17,208.0
18,208.0
19,209.0
20,211.0
21,212.0
22,206.0
23,212.0
24,211.0
25,207.0
26,210.0
27,208.0
28,210.0
29,213.0
30,211.0
31,220.0
32,215.0
33,206.0
34,213.0
35,206.0
36,200.0
37,209.0
38,218.0
39,211.0
40,212.0
41,210.0
42,206.0
43,216.0
44,212.0
45,212.0
46,218.0
47,210.0
48,210.0
49,209.0
50,209.0
51,211.0
52,214.0
53,217.0
54,219.0
55,218.0
56,217.0
57,217.0
58,216.0
59,216.0
