frame,center
1,286.0
2,286.0
3,282.0
4,284.0
5,281.0
6,278.0
7,275.0
8,276.0
9,273.0
10,266.0
11,266.0
12,262.0
13,263.0
14,263.0
15,260.0
16,265.0
17,266.0
18,291.0
19,296.0
20,298.0
21,294.0
22,293.0
23,293.0
24,294.0
25,300.0
26,299.0
27,295.0
28,287.0
29,283.0
30,275.0
31,270.0
32,266.0
33,267.0
34,263.0
35,263.0
36,258.0
37,259.0
38,250.0
39,245.0
40,246.0
41,249.0
42,244.0
43,245.0
44,244.0
45,249.0
46,245.0
47,245.0
48,245.0
49,245.0
50,246.0
51,246.0
52,246.0
53,246.0
54,247.0
55,247.0
56,247.0
57,246.0
58,245.0
