frame,center
1,138.0
2,137.0
3,136.0
4,136.0
5,137.0
6,138.0
7,136.0
8,136.0
9,135.0
10,136.0
11,135.0
12,136.0
13,134.0
14,133.0
15,133.0
16,133.0
17,135.0
18,135.0
19,133.0
20,132.0
21,132.0
22,132.0
23,131.0
24,132.0
25,133.0
26,134.0
27,133.0
28,133.0
29,131.0
30,131.0
31,130.0
32,132.0
33,131.0
34,131.0
35,131.0
36,132.0
37,131.0
38,131.0
39,130.0
40,132.0
41,131.0
42,130.0
43,130.0
44,130.0
45,129.0
46,129.0
47,131.0
48,131.0
49,132.0
50,133.0
51,134.0
52,136.0
53,135.0
54,136.0
55,136.0
56,135.0
57,135.0
58,135.0
59,135.0
60,135.0
61,135.0
62,136.0
63,135.0
64,136.0
65,135.0
66,134.0
67,135.0
68,133.0
69,133.0
70,133.0
71,134.0
72,132.0
73,132.0
74,134.0
