frame,center
1,122.0
2,122.0
3,122.0
4,122.0
5,121.0
6,122.0
7,122.0
8,121.0
9,121.0
10,121.0
11,121.0
12,121.0
13,121.0
14,121.0
15,119.0
16,120.0
17,121.0
18,120.0
19,122.0
20,120.0
21,120.0
22,121.0
23,121.0
24,122.0
25,123.0
26,123.0
27,123.0
28,123.0
29,122.0
30,123.0
31,124.0
32,124.0
33,124.0
34,123.0
35,123.0
36,124.0
37,123.0
38,125.0
39,124.0
40,123.0
41,123.0
42,125.0
43,124.0
44,124.0
45,123.0
46,124.0
47,125.0
48,124.0
49,123.0
50,122.0
51,122.0
52,122.0
53,123.0
54,120.0
55,122.0
56,121.0
57,119.0
58,118.0
59,120.0
60,120.0
61,120.0
62,120.0
63,120.0
64,120.0
65,120.0
66,120.0
67,121.0
68,122.0
69,121.0
70,119.0
71,120.0
72,120.0
73,121.0
74,120.0
