frame,center
1,269.0
2,268.0
3,266.0
4,265.0
5,267.0
6,267.0
7,267.0
8,266.0
9,266.0
10,266.0
11,264.0
12,261.0
13,261.0
14,259.0
15,252.0
16,261.0
17,252.0
18,263.0
19,264.0
20,264.0
21,264.0
22,263.0
23,264.0
24,263.0
25,262.0
26,261.0
27,261.0
28,261.0
29,264.0
30,262.0
31,266.0
32,267.0
33,265.0
34,263.0
35,263.0
36,264.0
37,263.0
38,264.0
39,266.0
40,266.0
41,263.0
42,271.0
43,263.0
44,274.0
45,271.0
46,268.0
47,271.0
48,272.0
49,276.0
50,261.0
51,263.0
52,272.0
53,271.0
54,273.0
55,273.0
56,275.0
57,275.0
58,274.0
59,271.0
60,271.0
61,269.0
