frame,center,eyes_ratio,MOA
1,187.0,0.5222222222222221,0.9557790087219501
2,185.0,0.5916666666666667,0.8741572761215378
3,185.0,0.6166666666666667,0.8495019754356025
4,185.0,0.4270833333333333,0.9198257623353475
5,186.0,0.7118055555555556,0.7141188888698294
6,186.0,0.5472222222222223,0.7579005565154956
7,189.0,0.375,0.9037378388935386
8,189.0,0.5548611111111111,0.9701425001453318
9,190.0,0.8166666666666667,0.9701425001453318
10,191.0,1.0,0.9957766176804925
11,188.0,0.5104166666666666,0.9922178988326846
12,190.0,0.39166666666666666,0.9883716976506173
13,186.0,0.4083333333333333,0.8616306376919393
14,184.0,0.6805555555555556,0.965065502183406
15,191.0,0.5666666666666667,0.9893334233626336
16,186.0,0.4916666666666667,0.9542751753958262
17,181.0,0.4270833333333333,0.7907237076139134
18,182.0,0.44375,0.7191229524372543
19,182.0,0.4270833333333333,0.7371541402007414
20,183.0,0.30833333333333335,0.7513174354941028
21,187.0,0.375,0.8189509886527143
22,189.0,0.5104166666666666,0.8189509886527143
23,188.0,0.29583333333333334,0.8320502943378437
24,189.0,0.44375,0.8637789008984335
25,188.0,0.55,0.8804710999221752
26,188.0,0.55,0.8637789008984335
27,190.0,0.3770833333333333,0.8415158629832569
28,189.0,0.44375,0.8862254439618368
29,190.0,0.44375,0.8731446819290957
30,188.0,0.4270833333333333,0.8804710999221752
31,185.0,0.4625,0.8415158629832569
32,185.0,0.38472222222222224,0.8700221858486124
33,183.0,0.44375,0.7331080000099418
34,183.0,0.4083333333333333,0.7389558439133296
35,182.0,0.4916666666666667,0.8270270270270269
36,188.0,0.6861111111111111,0.9893827875325018
37,183.0,0.5916666666666667,0.8729434821372646
38,182.0,0.5916666666666667,0.9499257899463774
39,183.0,0.4604166666666667,0.9532306376993182
40,184.0,0.6388888888888888,0.8826183696129822
41,183.0,0.36250000000000004,0.9056474558749082
42,182.0,0.525,0.9085697352983414
43,186.0,0.5104166666666666,0.970879659481827
44,182.0,0.22361111111111112,0.8541985556144385
45,181.0,0.4270833333333333,0.6919053632356148
46,180.0,0.44375,0.9153856866258164
47,181.0,0.4270833333333333,0.8131086861592094
48,182.0,0.5916666666666667,0.8748932080303583
49,183.0,0.42500000000000004,0.93834311681711
50,184.0,0.42500000000000004,0.9569339284154372
51,181.0,0.29583333333333334,0.8637789008984335
52,181.0,0.2833333333333333,0.8336805517530993
53,181.0,0.20347222222222222,0.8419965909607874
54,182.0,0.2833333333333333,0.9284766908852592
