frame,center,eyes_ratio,MOA
1,432.0,0.5086050724637681,0.9946759684719623
2,434.0,0.3682367149758454,0.9989640674357229
3,427.0,0.8182971014492754,0.9989778392945695
4,434.0,0.27617753623188407,0.998602686444824
5,434.0,0.6105978260869566,0.9995574085167952
6,431.0,0.8364734299516908,0.9959433411537016
7,438.0,0.5335144927536232,0.9962699665019749
8,441.0,0.30516304347826084,0.9965581753220276
9,442.0,0.3369867149758454,0.9989640674357229
10,440.0,0.30317028985507244,0.9999368826331936
11,441.0,0.2824275362318841,1.0
12,440.0,0.9782608695652174,1.0
13,438.0,0.4248792270531401,0.9991897381861311
14,435.0,0.31482487922705316,0.9991264766109311
15,435.0,0.3085748792270532,0.9995574085167952
16,435.0,0.2689311594202899,0.9999134461416996
17,432.0,0.17928743961352656,0.9990075243395008
18,433.0,0.29592391304347826,0.9990561583550596
19,433.0,0.33414855072463767,0.9965972426256174
20,434.0,0.2689311594202899,0.9995574085167952
21,434.0,0.3244867149758454,0.9999274284261899
22,434.0,0.22786835748792272,1.0
23,434.0,0.23242753623188406,0.9990075243395008
24,433.0,0.2824275362318841,0.9961298500253811
25,431.0,0.2689311594202899,0.9963317738331001
26,434.0,0.22786835748792272,1.0
27,434.0,0.2689311594202899,0.9989200860780658
28,434.0,0.3355072463768116,0.9990075243395008
29,432.0,0.23967391304347826,0.9995411791453814
30,433.0,0.2824275362318841,0.9999134461416996
31,433.0,0.22786835748792272,1.0
32,433.0,0.2341183574879227,0.9990561583550596
33,433.0,0.2167874396135266,0.9995411791453814
34,434.0,0.23269927536231885,0.9999134461416996
35,431.0,0.27617753623188407,0.9990561583550596
36,434.0,0.27617753623188407,0.9991264766109311
37,434.0,0.3244867149758454,0.9990561583550596
38,433.0,0.2689311594202899,0.9995574085167952
39,433.0,0.27617753623188407,0.9991264766109311
40,434.0,0.2824275362318841,0.9991264766109311
41,435.0,0.34275362318840574,0.991997911723619
42,432.0,0.27617753623188407,0.9999061869691637
43,432.0,0.2896739130434783,0.9990561583550596
44,434.0,0.22786835748792272,0.9990561583550596
45,434.0,0.2824275362318841,0.9990561583550596
46,433.0,0.27518115942028987,0.9999061869691637
47,434.0,0.28342391304347825,0.9990561583550596
48,433.0,0.27617753623188407,0.9990561583550596
49,432.0,0.28342391304347825,0.9990561583550596
50,433.0,0.28342391304347825,0.9999061869691637
51,434.0,0.27617753623188407,0.999525842269613
52,433.0,0.2824275362318841,0.9999061869691637
53,435.0,0.2689311594202899,0.9999274284261899
54,433.0,0.27617753623188407,0.9996349698728535
55,434.0,0.28342391304347825,0.9991085135170146
56,434.0,0.32101449275362315,0.9996272652054928
57,434.0,0.27617753623188407,0.9963317738331001
58,434.0,0.31482487922705316,0.9990561583550596
59,434.0,0.31482487922705316,0.9991085135170146
60,432.0,0.3199275362318841,0.9995411791453814
61,433.0,0.95,0.999866904065763
