frame,head_amplitude,left_max_ratio,right_max_ratio,MOA
1,32.26904898872677,0.5,0.52,0.9967869172575659
2,36.85530236882167,0.3055555555555556,0.3466666666666667,0.9967869172575659
3,34.65654709086493,0.4583333333333333,0.3466666666666667,0.9967869172575659
4,42.04135306286052,0.3333333333333333,0.52,0.9967869172575659
5,41.68015538705591,0.5416666666666666,0.52,0.9967869172575659
6,41.18700184270112,0.5,0.32,0.9967869172575659
7,40.195510196726644,0.7222222222222222,0.52,0.9967869172575659
8,32.9731479806638,0.7222222222222222,0.52,0.9967869172575659
9,39.11397188992816,0.7222222222222222,0.52,0.9967869172575659
10,40.67312685342446,0.5416666666666666,0.52,0.9967869172575659
11,42.57022434521537,0.5416666666666666,0.52,0.9967869172575659
12,40.07132535012124,0.5416666666666666,0.52,0.9967869172575659
13,,,,0.9967869172575659
14,,,,0.9967869172575659
15,46.237213543634184,0.3611111111111111,0.52,0.9967869172575659
16,43.766422362643425,0.5,0.3466666666666667,0.9967869172575659
17,42.788884755945645,0.3611111111111111,0.3466666666666667,0.9967869172575659
18,44.81908134580607,0.5,0.48,0.9967869172575659
19,,,,0.9967869172575659
20,,,,0.9967869172575659
21,,,,0.9967869172575659
22,,,,0.9967869172575659
23,43.40660754618823,0.7222222222222222,0.8666666666666667,0.9967869172575659
24,39.10840181467001,0.9722222222222222,0.8666666666666667,0.9967869172575659
25,32.359528216390416,0.9027777777777778,0.9333333333333333,0.9967869172575659
26,27.57106503994594,0.9027777777777778,0.9333333333333333,0.9967869172575659
27,25.305517622071722,0.8333333333333334,1.0,0.9967869172575659
28,0.0,0.8333333333333334,0.8666666666666667,0.9967869172575659
29,19.25157116948288,1.0,0.9333333333333333,0.9967869172575659
30,26.431955604533254,0.8333333333333334,0.8666666666666667,0.9967869172575659
31,14.907371371067544,0.8333333333333334,0.8666666666666667,0.9967869172575659
32,9.554260312349966,0.7638888888888888,0.8666666666666667,0.9967869172575659
33,,,,0.9967869172575659
34,,,,0.9967869172575659
35,,,,0.9967869172575659
36,,,,0.9967869172575659
37,,,,0.9967869172575659
38,,,,0.9967869172575659
39,,,,0.9967869172575659
40,,,,0.9967869172575659
41,,,,0.9967869172575659
42,,,,0.9967869172575659
43,,,,0.9967869172575659
44,,,,0.9967869172575659
45,,,,0.9967869172575659
46,,,,0.9967869172575659
47,,,,0.9967869172575659
48,,,,0.9967869172575659
49,,,,0.9967869172575659
50,,,,0.9967869172575659
51,,,,0.9967869172575659
52,,,,0.9967869172575659
53,,,,0.9967869172575659
54,,,,0.9967869172575659
55,,,,0.9967869172575659
56,,,,0.9967869172575659
57,,,,0.9967869172575659
58,,,,0.9967869172575659
59,,,,0.9967869172575659
60,,,,0.9967869172575659
61,,,,0.9967869172575659
62,,,,0.9967869172575659
63,,,,0.9967869172575659
64,,,,0.9967869172575659
65,,,,0.9967869172575659
66,,,,0.9967869172575659
67,40.92484725512529,0.3333333333333333,0.52,0.9967869172575659
68,41.73499212458112,0.5,0.52,0.9967869172575659
69,37.45521299969248,0.7222222222222222,0.6933333333333334,0.9967869172575659
70,39.8410569950871,0.6666666666666666,0.6933333333333334,0.9967869172575659
71,32.37111463774396,0.7222222222222222,0.6933333333333334,0.9967869172575659
72,39.57996996857287,0.7222222222222222,0.9333333333333333,0.9967869172575659
73,38.91451880414668,0.7222222222222222,0.8,0.9967869172575659
