frame,center,eyes_ratio,MOA
1,121.0,0.35758513931888547,0.96363383291291
2,122.0,0.27921826625387,0.7452413135250994
3,121.0,0.3572534276868642,0.9312427797057534
4,123.0,0.3722910216718266,0.9838699100999074
5,125.0,0.3318498452012384,0.7739572992033211
6,124.0,0.3057828394515701,0.9647638212377322
7,122.0,0.387328615656789,0.910898972340316
8,123.0,0.27921826625387,0.9374252720097653
9,125.0,0.3318498452012384,0.863371944126605
10,126.0,0.3722910216718266,0.9138115486202573
11,130.0,0.6182551968155683,0.9417419115948374
12,132.0,0.5393078283945156,0.9760100831025236
13,131.0,0.6373839009287926,0.6431920864232734
14,132.0,0.6256081379920388,0.6305926250944657
15,132.0,0.42492260061919507,0.39391929857916763
16,126.0,0.4731313578062804,0.9432139401494412
17,128.0,0.27921826625387,0.8616306376919393
18,125.0,0.26794007076514814,0.7792134503124136
19,124.0,0.23877708978328172,0.7450147007376412
20,124.0,0.33436532507739936,0.7915903209731898
21,125.0,0.1786267138434321,0.8265992475892193
22,127.0,0.23877708978328172,0.9647638212377322
23,125.0,0.23877708978328172,0.9359999999999999
24,123.0,0.22014595311808932,0.9761870601839528
25,124.0,0.13083259619637327,0.9103664774626047
26,123.0,0.29024767801857587,0.8918272423909417
27,128.0,0.23877708978328172,0.8944271909999159
28,127.0,0.24613003095975233,0.9395805825407064
29,124.0,0.1861455108359133,0.946649906050144
30,123.0,0.29024767801857587,0.7306568260253945
31,125.0,0.29024767801857587,0.80472413028408
32,125.0,0.26794007076514814,0.8253072612498319
33,123.0,0.26794007076514814,0.866622456874169
34,123.0,0.38699690402476783,0.8472870884199184
35,123.0,0.31965944272445823,0.8011853759298712
36,123.0,0.32784166298098183,0.7999999999999998
37,121.0,0.3719593100398054,0.8728573874893092
38,121.0,0.3318498452012384,0.7828232547561078
39,121.0,0.4311145510835913,0.9417419115948374
40,120.0,0.3719593100398054,0.9333456062030596
41,122.0,0.23761609907120743,0.8700221858486124
42,122.0,0.3722910216718266,0.946649906050144
43,123.0,0.3318498452012384,0.9587981127083872
44,123.0,0.26794007076514814,0.96363383291291
45,124.0,0.3318498452012384,0.9805806756909202
46,124.0,0.3572534276868642,0.8944271909999159
47,125.0,0.3318498452012384,0.9701425001453319
48,125.0,0.26794007076514814,0.9701425001453319
49,124.0,0.3572534276868642,1.0000000000000002
50,124.0,0.2936753648827952,0.9936052547897188
51,125.0,0.41021671826625383,0.9647638212377322
52,125.0,0.34254754533392306,0.9982743731749958
53,126.0,0.34254754533392306,0.9486832980505138
54,127.0,0.35758513931888547,0.6050832675335579
55,135.0,1.0,1.0000000000000002
