frame,center,eyes_ratio,MOA
1,331.0,0.4727969348659003,0.9952667318313084
2,330.0,0.6908812260536399,0.9586917649124704
3,329.0,0.5825287356321839,0.9988681377244376
4,333.0,0.6419923371647509,0.9972515581132696
5,331.0,0.7709578544061303,0.973688178796424
6,334.0,0.5773946360153257,0.979435728169314
7,330.0,0.8073563218390805,0.9373611373027212
8,327.0,0.6947126436781609,0.9999669525272964
9,332.0,0.4743295019157088,0.9970758523335884
10,333.0,0.6821455938697318,0.973688178796424
11,329.0,0.6908812260536399,0.9924856303405768
12,328.0,0.6525670498084291,0.9988123511248966
13,333.0,0.6954789272030651,0.9525381006409208
14,333.0,0.5691954022988506,0.9988681377244376
15,329.0,0.5673563218390805,0.9507036916752004
16,331.0,0.5659003831417624,0.9912853317985432
17,335.0,0.8333333333333333,0.9609069544270732
18,335.0,0.8022222222222222,0.9619708260855804
19,338.0,0.6055172413793104,0.977740962621234
20,336.0,0.7441379310344828,0.994201186212412
21,332.0,0.6140229885057471,0.999762315336277
22,329.0,0.6151724137931034,0.9998151400298464
23,334.0,0.6908812260536399,0.9899494936611664
24,332.0,0.6170114942528735,0.9600614208165036
25,345.0,1.0,0.8651746522317084
26,331.0,0.6303448275862069,0.9936792461616458
27,329.0,0.6055172413793104,0.9998151400298464
28,332.0,0.5461302681992337,1.0
29,333.0,0.592183908045977,0.9817590409068376
30,334.0,0.7575478927203065,0.9675601644592252
31,336.0,0.8571647509578544,0.9842712069938844
32,331.0,0.6017624521072797,0.9969990301142956
33,327.0,0.6055172413793104,0.9999015227049324
34,332.0,0.666206896551724,0.9979498003466468
35,332.0,0.5577011494252874,0.9999396262866598
36,330.0,0.453639846743295,0.998884108808868
37,326.0,0.6286590038314177,0.9998634252929988
38,326.0,0.5318007662835249,0.9990386648803962
39,328.0,0.5685823754789272,0.9991711277059678
40,332.0,0.4743295019157088,0.99999288010452
41,332.0,0.5577011494252874,0.998036296046669
42,333.0,0.6255172413793104,0.963833025780932
43,331.0,0.4440613026819923,0.999989283437016
44,324.0,0.677471264367816,1.0
45,332.0,0.7198467432950191,0.9814998305398388
46,336.0,0.7441379310344828,0.9981002300559684
47,331.0,0.4934865900383142,0.9738577968824492
48,340.0,0.7562452107279694,0.9273978695152448
49,329.0,0.5806896551724138,0.999810308668241
50,329.0,0.6295785440613026,0.9673722233802452
51,342.0,0.9482758620689656,0.9069115316623289
52,328.0,0.6152490421455938,0.9998461420100132
53,330.0,0.6908812260536399,0.9917025066621882
54,325.0,0.6065900383141762,0.999697798962258
55,335.0,0.7742528735632184,0.9642480808990396
56,332.0,0.592183908045977,0.9808789464894238
57,336.0,0.8073563218390805,0.9936529683149568
58,329.0,0.5443678160919541,0.999975999455984
59,333.0,0.6554022988505748,0.9455888763979724
60,335.0,0.6285057471264368,0.9948934062566148
61,331.0,0.6303448275862069,0.9936792461616458
62,329.0,0.6055172413793104,0.9998151400298464
63,332.0,0.5461302681992337,1.0
64,333.0,0.592183908045977,0.9817590409068376
65,334.0,0.7575478927203065,0.9675601644592252
66,336.0,0.8571647509578544,0.9842712069938844
67,331.0,0.6017624521072797,0.9969990301142956
68,327.0,0.6055172413793104,0.9999015227049324
69,332.0,0.666206896551724,0.9979498003466468
70,331.0,0.6303448275862069,0.9936792461616458
