file,frame_count,frame_last,lost_frame_count
1,62,62,0
2,63,63,0
3,84,84,0
4,53,53,0
5,56,56,0
6,60,60,0
7,56,56,0
8,75,75,0
9,61,61,0
10,72,72,0
11,53,53,0
12,59,59,0
13,42,42,0
14,60,60,0
15,58,58,0
16,58,58,0
17,64,64,0
18,51,51,0
19,61,61,0
20,63,63,0
21,61,61,0
22,61,61,0
23,61,61,0
24,48,48,0
25,61,61,0
26,64,64,0
27,75,75,0
28,71,71,0
29,66,66,0
30,52,52,0
31,58,58,0
32,61,61,0
33,61,61,0
34,60,60,0
35,75,75,0
36,77,77,0
37,49,49,0
38,77,77,0
39,68,68,0
40,57,57,0
41,58,58,0
42,49,49,0
43,51,51,0
44,54,54,0
45,61,61,0
46,60,60,0
47,61,61,0
48,61,61,0
49,61,61,0
50,61,61,0
51,61,61,0
52,61,61,0
53,48,48,0
54,55,55,0
55,73,73,0
56,77,77,0
57,74,74,0
58,76,76,0
59,77,77,0
60,76,76,0
61,60,60,0
62,51,51,0
63,60,60,0
64,55,55,0
65,85,85,0
66,85,85,0
67,87,87,0
68,84,84,0
69,60,60,0
70,71,71,0
71,57,57,0
72,49,49,0
73,58,58,0
74,53,53,0
75,55,55,0
76,60,60,0
77,76,76,0
78,74,74,0
79,81,81,0
80,54,54,0
81,71,71,0
82,56,56,0
83,54,54,0
84,75,75,0
85,77,77,0
86,78,78,0
87,69,69,0
88,67,67,0
89,65,65,0
90,75,75,0
91,74,74,0
92,78,78,0
93,79,79,0
94,77,77,0
95,74,74,0
96,61,61,0
97,60,60,0
98,48,48,0
99,55,55,0
100,56,56,0
101,58,58,0
102,52,52,0
103,51,51,0
104,77,77,0
105,75,75,0
106,62,62,0
107,61,61,0
108,61,61,0
109,73,73,0
110,49,49,0
111,59,59,0
112,57,57,0
113,72,72,0
114,74,74,0
115,76,76,0
116,54,54,0
117,57,57,0
118,68,68,0
119,72,72,0
120,77,77,0
121,77,77,0
122,57,57,0
123,73,73,0
124,61,61,0
125,61,61,0
126,57,57,0
127,53,53,0
128,76,76,0
129,70,70,0
130,80,80,0
131,80,80,0
132,79,79,0
133,76,76,0
134,75,75,0
135,61,61,0
136,70,70,0
137,76,76,0
138,76,76,0
139,74,74,0
140,54,54,0
141,61,61,0
142,61,61,0
143,55,55,0
144,76,76,0
145,74,74,0
146,61,61,0
147,61,61,0
148,64,64,0
149,56,56,0
150,63,63,0
151,50,50,0
152,52,52,0
153,58,58,0
154,68,68,0
155,61,61,0
156,61,61,0
157,62,62,0
158,56,56,0
159,60,60,0
160,61,61,0
161,61,61,0
162,61,61,0
163,75,75,0
164,45,45,0
165,71,71,0
166,75,75,0
167,61,61,0
168,54,54,0
169,60,60,0
170,57,57,0
171,77,77,0
172,74,74,0
173,79,79,0
174,77,77,0
175,78,78,0
176,61,61,0
177,73,73,0
178,72,72,0
179,54,54,0
180,41,41,0
181,62,62,0
182,62,62,0
183,60,60,0
184,60,60,0
185,78,78,0
186,66,66,0
187,60,60,0
188,74,74,0
189,74,74,0
190,78,78,0
191,77,77,0
192,78,78,0
193,74,74,0
194,80,80,0
195,78,78,0
196,61,61,0
197,61,61,0
198,61,61,0
199,53,53,0
