frame,center
1,101.0
2,101.0
3,101.0
4,102.0
5,112.0
6,110.0
7,108.0
8,110.0
9,106.0
10,107.0
11,107.0
12,106.0
13,106.0
14,101.0
15,99.0
16,102.0
17,99.0
18,108.0
19,95.0
20,108.0
21,109.0
22,112.0
23,112.0
24,113.0
25,112.0
26,108.0
27,108.0
28,110.0
29,111.0
30,106.0
31,110.0
32,109.0
33,108.0
34,108.0
35,108.0
36,109.0
37,109.0
38,108.0
39,110.0
40,108.0
41,106.0
42,107.0
43,118.0
44,118.0
45,110.0
46,111.0
47,110.0
48,110.0
49,113.0
50,111.0
51,112.0
52,113.0
53,108.0
54,108.0
55,108.0
56,108.0
57,106.0
58,113.0
59,111.0
60,105.0
