frame,center
1,176.0
2,171.0
3,171.0
4,173.0
5,173.0
6,173.0
7,170.0
8,162.0
9,163.0
10,170.0
11,169.0
12,166.0
13,161.0
14,170.0
15,169.0
16,168.0
17,162.0
18,167.0
19,171.0
20,168.0
21,169.0
22,169.0
23,169.0
24,169.0
25,170.0
26,168.0
27,169.0
28,160.0
29,165.0
30,165.0
31,165.0
32,170.0
33,169.0
34,170.0
35,169.0
36,169.0
37,171.0
38,171.0
39,171.0
40,171.0
41,171.0
42,170.0
43,170.0
44,171.0
45,171.0
46,169.0
47,170.0
48,169.0
49,172.0
50,179.0
51,179.0
52,180.0
53,171.0
54,172.0
55,171.0
56,181.0
57,172.0
58,180.0
59,179.0
60,179.0
61,172.0
62,171.0
63,173.0
64,172.0
65,172.0
66,173.0
