frame,center
1,152.0
2,153.0
3,153.0
4,153.0
5,153.0
6,151.0
7,152.0
8,151.0
9,153.0
10,152.0
11,150.0
12,151.0
13,152.0
14,152.0
15,152.0
16,153.0
17,151.0
18,152.0
19,152.0
20,152.0
21,152.0
22,152.0
23,154.0
24,155.0
25,154.0
26,155.0
27,154.0
28,154.0
29,153.0
30,153.0
31,152.0
32,154.0
33,153.0
34,154.0
35,153.0
36,153.0
37,153.0
38,154.0
39,152.0
40,153.0
41,152.0
42,156.0
43,154.0
44,156.0
45,153.0
46,152.0
47,152.0
48,152.0
49,152.0
50,151.0
51,152.0
52,151.0
53,153.0
54,150.0
55,149.0
56,150.0
57,153.0
58,154.0
59,153.0
60,152.0
61,153.0
62,153.0
63,153.0
64,152.0
65,152.0
66,152.0
67,153.0
68,153.0
69,150.0
70,152.0
71,153.0
72,153.0
73,152.0
