frame,center
1,220.0
2,220.0
3,219.0
4,219.0
5,221.0
6,220.0
7,221.0
8,220.0
9,215.0
10,216.0
11,216.0
12,217.0
13,217.0
14,220.0
15,222.0
16,221.0
17,221.0
18,220.0
19,222.0
20,222.0
21,222.0
22,221.0
23,220.0
24,221.0
25,222.0
26,221.0
27,221.0
28,221.0
29,220.0
30,221.0
31,221.0
32,221.0
33,221.0
34,221.0
35,222.0
36,223.0
37,222.0
38,221.0
39,221.0
40,221.0
41,222.0
42,222.0
43,222.0
44,222.0
45,222.0
46,222.0
47,222.0
48,222.0
49,222.0
50,221.0
51,222.0
52,222.0
53,222.0
54,219.0
55,220.0
56,222.0
57,221.0
58,220.0
59,219.0
60,220.0
61,220.0
62,220.0
63,221.0
64,221.0
65,220.0
66,221.0
67,220.0
68,221.0
69,221.0
70,221.0
71,221.0
72,224.0
73,221.0
74,219.0
75,223.0
76,215.0
77,220.0
78,217.0
79,212.0
80,222.0
81,219.0
82,218.0
83,219.0
84,220.0
85,223.0
