frame,center
1,132.0
2,134.0
3,137.0
4,136.0
5,136.0
6,138.0
7,134.0
8,138.0
9,146.0
10,147.0
11,149.0
12,148.0
13,150.0
14,154.0
15,152.0
16,149.0
17,157.0
18,149.0
19,134.0
20,126.0
21,120.0
22,124.0
23,123.0
24,126.0
25,129.0
26,127.0
27,135.0
28,133.0
29,133.0
30,135.0
31,133.0
32,128.0
33,128.0
34,133.0
35,130.0
36,136.0
37,136.0
38,129.0
39,132.0
40,135.0
41,130.0
42,126.0
43,123.0
44,127.0
45,130.0
46,128.0
47,126.0
48,133.0
49,130.0
50,131.0
51,133.0
52,132.0
53,131.0
54,133.0
55,134.0
56,136.0
57,137.0
58,139.0
59,140.0
60,138.0
61,134.0
62,140.0
63,139.0
64,136.0
65,134.0
66,131.0
67,132.0
68,132.0
69,132.0
70,125.0
71,127.0
72,132.0
73,132.0
74,129.0
