frame,center
1,164.0
2,164.0
3,165.0
4,165.0
5,164.0
6,165.0
7,166.0
8,166.0
9,166.0
10,166.0
11,165.0
12,165.0
13,165.0
14,165.0
15,164.0
16,164.0
17,164.0
18,168.0
19,167.0
20,169.0
21,169.0
22,169.0
23,168.0
24,166.0
25,167.0
26,167.0
27,167.0
28,166.0
29,164.0
30,164.0
31,164.0
32,163.0
33,164.0
34,163.0
35,164.0
36,167.0
37,169.0
38,168.0
39,168.0
40,168.0
41,169.0
42,168.0
43,168.0
44,168.0
45,168.0
46,167.0
47,169.0
48,169.0
49,168.0
50,168.0
51,168.0
52,168.0
53,168.0
54,167.0
55,166.0
56,166.0
57,166.0
58,166.0
59,165.0
60,164.0
61,166.0
62,166.0
63,165.0
64,163.0
65,163.0
66,164.0
67,166.0
68,166.0
69,165.0
70,166.0
71,167.0
72,167.0
