frame,center
1,98.0
2,98.0
3,99.0
4,98.0
5,102.0
6,104.0
7,107.0
8,106.0
9,110.0
10,110.0
11,111.0
12,112.0
13,109.0
14,110.0
15,110.0
16,112.0
17,112.0
18,111.0
19,112.0
20,115.0
21,117.0
22,118.0
23,116.0
24,117.0
25,118.0
26,116.0
27,116.0
28,115.0
29,117.0
30,117.0
31,117.0
32,117.0
33,118.0
34,112.0
35,110.0
36,99.0
37,111.0
38,110.0
39,113.0
40,111.0
41,111.0
42,111.0
43,109.0
44,106.0
45,106.0
46,110.0
47,109.0
48,108.0
49,108.0
50,110.0
51,110.0
52,107.0
53,112.0
54,108.0
55,106.0
56,103.0
57,101.0
58,103.0
59,114.0
60,103.0
61,105.0
62,108.0
63,106.0
64,103.0
65,115.0
66,115.0
67,114.0
68,114.0
69,104.0
70,105.0
71,106.0
72,108.0
73,109.0
74,107.0
75,110.0
76,113.0
77,114.0
