frame,center
1,97.0
2,100.0
3,91.0
4,90.0
5,95.0
6,100.0
7,101.0
8,92.0
9,92.0
10,104.0
11,97.0
12,102.0
13,101.0
14,101.0
15,102.0
16,102.0
17,105.0
18,104.0
19,101.0
20,100.0
21,101.0
22,103.0
23,98.0
24,95.0
25,103.0
26,104.0
27,102.0
28,95.0
29,96.0
30,102.0
31,101.0
32,102.0
33,99.0
34,96.0
35,95.0
36,103.0
37,94.0
38,90.0
39,91.0
40,95.0
41,102.0
42,104.0
43,101.0
44,92.0
45,93.0
46,91.0
47,106.0
48,94.0
49,94.0
50,97.0
51,103.0
52,102.0
53,100.0
54,100.0
55,101.0
56,101.0
57,101.0
58,100.0
59,103.0
60,94.0
61,100.0
62,100.0
63,104.0
64,103.0
65,103.0
66,102.0
67,103.0
68,103.0
69,103.0
70,103.0
71,101.0
72,101.0
