frame,center
1,432.0
2,434.0
3,427.0
4,434.0
5,434.0
6,431.0
7,438.0
8,441.0
9,442.0
10,440.0
11,441.0
12,440.0
13,438.0
14,435.0
15,435.0
16,435.0
17,432.0
18,433.0
19,433.0
20,434.0
21,434.0
22,434.0
23,434.0
24,433.0
25,431.0
26,434.0
27,434.0
28,434.0
29,432.0
30,433.0
31,433.0
32,433.0
33,433.0
34,434.0
35,431.0
36,434.0
37,434.0
38,433.0
39,433.0
40,434.0
41,435.0
42,432.0
43,432.0
44,434.0
45,434.0
46,433.0
47,434.0
48,433.0
49,432.0
50,433.0
51,434.0
52,433.0
53,435.0
54,433.0
55,434.0
56,434.0
57,434.0
58,434.0
59,434.0
60,432.0
61,433.0
