frame,center
1,190.0
2,194.0
3,195.0
4,195.0
5,188.0
6,194.0
7,191.0
8,196.0
9,195.0
10,192.0
11,198.0
12,192.0
13,193.0
14,199.0
15,195.0
16,194.0
17,194.0
18,194.0
19,195.0
20,193.0
21,199.0
22,200.0
23,193.0
24,194.0
25,192.0
26,195.0
27,194.0
28,193.0
29,195.0
30,193.0
31,194.0
32,195.0
33,195.0
34,196.0
35,194.0
36,194.0
37,190.0
38,195.0
39,194.0
40,194.0
41,194.0
42,193.0
43,191.0
44,195.0
45,192.0
46,195.0
47,195.0
48,195.0
49,193.0
50,193.0
51,193.0
52,192.0
53,193.0
54,194.0
55,196.0
56,195.0
57,192.0
58,193.0
59,193.0
60,195.0
61,192.0
62,195.0
63,194.0
64,199.0
65,199.0
66,197.0
67,193.0
68,196.0
69,194.0
70,192.0
71,195.0
72,195.0
73,193.0
74,195.0
75,194.0
76,194.0
