frame,center
1,120.0
2,120.0
3,119.0
4,118.0
5,119.0
6,119.0
7,120.0
8,120.0
9,120.0
10,121.0
11,120.0
12,120.0
13,119.0
14,123.0
15,120.0
16,120.0
17,122.0
18,121.0
19,119.0
20,120.0
21,121.0
22,120.0
23,121.0
24,121.0
25,121.0
26,121.0
27,119.0
28,117.0
29,120.0
30,122.0
31,121.0
32,128.0
33,129.0
34,128.0
35,125.0
36,123.0
37,120.0
38,120.0
39,121.0
40,121.0
41,120.0
42,120.0
43,119.0
44,121.0
45,121.0
46,121.0
47,126.0
48,122.0
49,123.0
50,122.0
51,121.0
52,122.0
53,121.0
54,120.0
55,119.0
56,120.0
57,127.0
58,128.0
59,138.0
60,136.0
