frame,center
1,159.0
2,159.0
3,161.0
4,162.0
5,160.0
6,160.0
7,160.0
8,162.0
9,161.0
10,161.0
11,160.0
12,158.0
13,160.0
14,158.0
15,161.0
16,161.0
17,159.0
18,158.0
19,160.0
20,160.0
21,160.0
22,160.0
23,161.0
24,160.0
25,162.0
26,160.0
27,160.0
28,161.0
29,162.0
30,161.0
31,160.0
32,163.0
33,160.0
34,162.0
35,163.0
36,160.0
37,162.0
38,160.0
39,160.0
40,159.0
41,161.0
42,159.0
43,158.0
44,161.0
45,162.0
46,160.0
47,161.0
48,163.0
49,163.0
50,164.0
51,162.0
52,163.0
53,162.0
54,161.0
55,163.0
56,162.0
57,164.0
58,164.0
59,164.0
60,163.0
61,165.0
62,163.0
63,167.0
