frame,center
1,159.0
2,151.0
3,157.0
4,151.0
5,156.0
6,161.0
7,168.0
8,169.0
9,169.0
10,169.0
11,169.0
12,168.0
13,159.0
14,157.0
15,155.0
16,152.0
17,153.0
18,152.0
19,156.0
20,152.0
21,152.0
22,153.0
23,152.0
24,156.0
25,156.0
26,155.0
27,155.0
28,156.0
29,157.0
30,156.0
31,156.0
32,156.0
33,156.0
34,154.0
35,154.0
36,154.0
37,152.0
38,154.0
39,152.0
40,154.0
41,153.0
42,153.0
43,153.0
44,153.0
45,157.0
46,154.0
47,151.0
48,156.0
49,157.0
50,152.0
51,153.0
52,157.0
53,158.0
54,154.0
55,152.0
56,153.0
57,155.0
58,157.0
59,154.0
60,155.0
61,156.0
62,156.0
63,156.0
64,155.0
65,155.0
66,156.0
67,156.0
68,154.0
69,153.0
70,155.0
71,155.0
72,153.0
73,152.0
74,152.0
75,154.0
