frame,eye_mouth_distance
1,72.79950318079128
2,72.09931889011526
3,73.52457994880508
4,74.55643505297466
5,73.02428019492432
6,72.33996813496147
7,70.2011816498462
8,75.99539660918488
9,63.865574537166225
10,62.53830665383842
11,63.39369743691551
12,63.152556477030544
13,62.50560662072914
14,61.42180530787745
15,61.578666082016845
16,73.19366715033645
17,62.8277672639944
18,62.55004229354286
19,63.2623999702825
20,62.429543912430326
21,62.3215843116262
22,61.411970729390774
23,61.61650396648041
24,62.15360272076791
25,61.85170700712752
26,61.29318495180952
27,65.65833862097722
28,68.31324834434942
29,70.07712517280704
30,69.70524997998963
31,69.13226847842091
32,69.2576494955747
33,69.73700590892301
34,70.2656771447866
35,70.37681802615636
36,70.79244765366133
37,71.04089423596915
38,71.53687662606663
39,70.12655125951399
40,70.27934864120455
41,69.58277969632111
42,70.7256061873985
43,68.98498342648612
44,72.40499969061543
45,73.69830287253893
46,76.63310841806502
47,75.86189937996986
48,75.97310785657615
49,76.92590870485103
50,79.32403301091998
51,80.1071340490477
52,79.8159786599648
53,78.80867995728535
54,77.6081565926956
55,75.31015575719218
56,73.59832369014936
57,74.86513117642252
58,74.28991628201342
59,76.21421656843053
60,76.39478329041778
61,
62,
