frame,eye_mouth_distance
1,36.88228912935413
2,35.81982047731288
3,35.77737402050741
4,34.8217328892888
5,40.69490661488981
6,41.18082049617485
7,45.82201258826298
8,47.0616718511302
9,38.66420948021876
10,37.923652615101446
11,44.936385615632645
12,39.750343087338216
13,39.42077625470511
14,36.580770206292634
15,48.06157680564451
16,47.5
17,40.93625074383163
18,33.94244465749214
19,40.75
20,45.41267100718745
21,39.62326808919671
22,38.102094819789265
23,41.11957497611891
24,38.28775627800014
25,42.58217153755233
26,41.21582856972894
27,41.0
28,42.36115724867319
29,40.53149926767953
30,39.69882549590969
31,45.39546691647927
32,46.89060499044654
33,48.59602953431829
34,40.5
35,40.34166101631527
36,40.4276986005182
37,45.0130261607411
38,40.824709639393205
39,41.310942442859385
40,45.79190841627475
41,47.99802475140886
42,47.50993704307406
43,40.17672562710741
44,47.612905819515305
45,47.51377240993012
46,48.53093351397462
47,47.7689270199448
48,47.70895342725943
49,48.486154410789695
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
