frame,eye_mouth_distance
1,46.083562962576046
2,48.73884360135783
3,49.01322897540722
4,49.5402735470641
5,47.96112702761133
6,47.75946993654964
7,47.86914583421978
8,49.71758660526412
9,49.03569001231135
10,47.86091594171078
11,45.224559852488504
12,45.83918979007312
13,48.06553340343135
14,47.453655080354835
15,47.93097602186023
16,46.877284304701185
17,46.013031538081066
18,46.40208019867524
19,47.54987727415816
20,46.57217649710269
21,44.754179684903846
22,47.85516018950986
23,49.235728651578185
24,49.14202910330672
25,49.1171394461446
26,47.529774641835075
27,47.64185841503298
28,47.37183179260056
29,47.31230843920056
30,46.90311801193504
31,47.07993622470644
32,47.33406123623587
33,49.09041960048543
34,50.08189661063003
35,50.183579414714764
36,43.785263113135386
37,43.388807568107325
38,47.76462308931061
39,48.814016262766756
40,48.83238855275287
41,44.931584680354234
42,42.89019438527563
43,42.84735480991824
44,46.80946942025939
45,48.19722651992099
46,48.093198606584586
47,48.10937684463928
48,49.76733994693714
49,49.103381300703866
50,49.35259604222395
51,51.43842267049299
52,49.11525493047505
53,50.87284275174914
54,52.27820720821545
55,51.0
56,49.25365967663826
57,49.41207087227008
58,50.114834931447376
59,50.124085961007395
60,49.5
61,49.35756964737614
62,
