frame,eye_mouth_distance
1,60.64511589511674
2,48.63290661177716
3,49.66606095172511
4,67.0859453441316
5,57.736265058275876
6,65.99013899032923
7,66.86612625584463
8,65.8511154441059
9,70.26779111462453
10,65.79610178131136
11,50.498300726292236
12,68.20950648655071
13,61.49465372113052
14,61.699892361562085
15,53.052891118671454
16,52.964137361697695
17,50.75219182903773
18,65.80503683807271
19,63.81008935470246
20,64.9647345563089
21,51.699872485634025
22,66.46030303596102
23,60.0
24,45.583464344849084
25,50.17717560525584
26,65.93384846602582
27,65.6377332744799
28,55.25787656275817
29,65.40361376212795
30,62.36618815824609
31,66.25
32,66.29642854738715
33,67.16425482185186
34,46.94395350061828
35,64.3587559601488
36,65.72140075506843
37,66.80770923179925
38,63.81304460789803
39,64.91414411420833
40,63.839449610447964
41,64.71202986718069
42,66.96279813398235
43,66.08221304171994
44,64.86725157497204
45,62.7469833804231
46,64.25
47,65.68416166732172
48,54.6030175191581
49,62.09764811636356
50,51.01209784777309
51,60.4286381113677
52,65.33887789812412
53,64.67915011192478
54,55.43984300082299
55,47.98739237947543
56,47.63052078215974
57,53.6234789224934
58,47.05618944711416
59,66.13946142178875
60,68.01334673445464
61,69.16877273147112
62,
