file,frame_count,frame_last,lost_frame_count
1,61,61,0
2,61,61,0
3,60,60,0
4,61,61,0
5,60,60,0
6,61,61,0
7,61,61,0
8,60,60,0
9,61,61,0
10,61,61,0
11,75,75,0
12,0,75,75
13,61,61,0
14,61,61,0
15,61,61,0
16,61,61,0
17,60,60,0
18,54,54,0
19,61,61,0
20,60,60,0
21,61,61,0
22,60,60,0
23,61,61,0
24,60,60,0
25,61,61,0
26,60,60,0
27,61,61,0
28,61,61,0
29,62,62,0
30,61,61,0
31,60,60,0
32,61,61,0
33,61,61,0
34,61,61,0
35,61,61,0
36,57,61,4
37,59,61,2
38,60,60,0
39,60,60,0
40,61,61,0
41,61,61,0
42,61,61,0
43,61,61,0
44,61,61,0
45,60,60,0
46,61,61,0
47,61,61,0
48,60,60,0
49,61,61,0
50,61,61,0
51,61,61,0
52,61,61,0
53,61,61,0
54,60,60,0
55,61,61,0
56,61,61,0
57,61,61,0
58,60,60,0
59,61,61,0
60,55,55,0
61,57,57,0
62,55,55,0
63,0,55,55
64,61,61,0
65,61,61,0
66,61,61,0
67,61,61,0
68,60,60,0
69,18,57,39
70,44,54,10
71,77,77,0
72,74,74,0
73,79,79,0
74,75,75,0
75,61,61,0
76,61,61,0
77,61,61,0
78,60,60,0
79,60,60,0
80,61,61,0
81,58,61,3
82,80,80,0
83,2,48,46
84,53,53,0
85,61,61,0
86,40,61,21
87,60,60,0
88,61,61,0
89,74,74,0
90,70,70,0
91,71,71,0
92,13,31,18
93,68,73,5
94,44,58,14
95,41,60,19
96,60,60,0
97,61,61,0
98,65,65,0
99,55,61,6
100,49,61,12
