frame,center
1,141.0
2,142.0
3,142.0
4,140.0
5,139.0
6,137.0
7,139.0
8,140.0
9,138.0
10,140.0
11,141.0
12,141.0
13,145.0
14,145.0
15,145.0
16,143.0
17,142.0
18,143.0
19,143.0
20,143.0
21,147.0
22,143.0
23,146.0
24,145.0
25,147.0
26,149.0
27,149.0
28,148.0
29,146.0
30,146.0
31,147.0
32,147.0
33,145.0
34,145.0
35,144.0
36,142.0
37,143.0
38,142.0
39,142.0
40,144.0
41,144.0
42,145.0
43,145.0
44,147.0
45,148.0
46,146.0
47,146.0
48,146.0
49,145.0
50,144.0
51,146.0
52,148.0
53,149.0
54,151.0
55,155.0
56,157.0
57,155.0
58,155.0
59,156.0
60,156.0
61,155.0
62,151.0
63,150.0
64,150.0
65,148.0
66,147.0
67,146.0
68,144.0
69,142.0
70,143.0
71,141.0
