frame,center
1,210.0
2,211.0
3,211.0
4,210.0
5,210.0
6,210.0
7,208.0
8,211.0
9,212.0
10,211.0
11,208.0
12,208.0
13,210.0
14,213.0
15,215.0
16,216.0
17,216.0
18,221.0
19,221.0
20,216.0
21,223.0
22,218.0
23,216.0
24,219.0
25,218.0
26,216.0
27,218.0
28,214.0
29,212.0
30,213.0
31,233.0
32,227.0
33,221.0
34,218.0
35,216.0
36,222.0
37,225.0
38,223.0
39,224.0
40,222.0
41,222.0
42,222.0
43,221.0
44,220.0
45,220.0
46,220.0
47,220.0
48,222.0
49,221.0
50,220.0
51,218.0
52,218.0
53,220.0
54,224.0
55,226.0
56,243.0
57,244.0
58,240.0
59,245.0
60,244.0
