frame,center
1,433.0
2,435.0
3,434.0
4,436.0
5,435.0
6,433.0
7,432.0
8,435.0
9,432.0
10,433.0
11,438.0
12,436.0
13,434.0
14,433.0
15,434.0
16,434.0
17,433.0
18,433.0
19,433.0
20,435.0
21,437.0
22,432.0
23,434.0
24,435.0
25,435.0
26,433.0
27,435.0
28,436.0
29,433.0
30,434.0
31,435.0
32,436.0
33,436.0
34,435.0
35,433.0
36,436.0
37,434.0
38,435.0
39,437.0
40,434.0
41,435.0
42,434.0
43,435.0
44,436.0
45,438.0
46,434.0
47,435.0
48,434.0
49,437.0
50,437.0
51,436.0
52,437.0
53,434.0
54,433.0
55,434.0
56,434.0
57,431.0
58,434.0
59,434.0
60,433.0
61,434.0
