frame,center
1,495.0
2,497.0
3,500.0
4,495.0
5,496.0
6,496.0
7,496.0
8,495.0
9,494.0
10,492.0
11,491.0
12,493.0
13,496.0
14,497.0
15,498.0
16,496.0
17,498.0
18,498.0
19,497.0
20,496.0
21,502.0
22,503.0
23,502.0
24,505.0
25,518.0
26,518.0
27,515.0
28,521.0
29,526.0
30,525.0
31,524.0
32,527.0
33,526.0
34,525.0
35,532.0
36,530.0
37,524.0
38,529.0
39,531.0
40,532.0
41,529.0
42,530.0
43,530.0
44,529.0
45,531.0
46,530.0
47,528.0
48,527.0
49,530.0
50,533.0
51,530.0
52,530.0
53,528.0
54,529.0
55,530.0
56,528.0
57,526.0
58,531.0
59,529.0
60,523.0
61,525.0
