frame,center
1,300.0
2,298.0
3,307.0
4,306.0
5,306.0
6,304.0
7,301.0
8,300.0
9,297.0
10,295.0
11,295.0
12,294.0
13,288.0
14,313.0
15,315.0
16,303.0
17,303.0
18,299.0
19,283.0
20,292.0
21,300.0
22,297.0
23,301.0
24,303.0
25,301.0
26,300.0
27,301.0
28,302.0
29,302.0
30,301.0
31,301.0
32,300.0
33,300.0
34,303.0
35,301.0
36,301.0
37,304.0
38,298.0
39,302.0
40,302.0
41,302.0
42,304.0
43,302.0
44,298.0
45,300.0
46,297.0
47,302.0
48,301.0
49,300.0
50,299.0
51,303.0
52,305.0
53,305.0
54,305.0
55,304.0
56,305.0
57,304.0
58,302.0
59,299.0
60,301.0
61,301.0
