frame,center
1,345.0
2,339.0
3,329.0
4,334.0
5,329.0
6,331.0
7,332.0
8,339.0
9,338.0
10,335.0
11,335.0
12,333.0
13,335.0
14,330.0
15,321.0
16,323.0
17,336.0
18,333.0
19,337.0
20,323.0
21,328.0
22,324.0
23,329.0
24,328.0
25,326.0
26,329.0
27,319.0
28,330.0
29,329.0
30,326.0
31,329.0
32,326.0
33,332.0
34,328.0
35,328.0
36,334.0
37,330.0
38,336.0
39,331.0
40,345.0
41,345.0
42,340.0
43,340.0
44,343.0
45,343.0
46,341.0
47,343.0
48,344.0
49,343.0
50,342.0
51,342.0
52,345.0
53,343.0
54,348.0
55,347.0
56,346.0
57,331.0
58,347.0
59,345.0
60,347.0
61,344.0
