frame,center
1,285.0
2,282.0
3,282.0
4,282.0
5,282.0
6,288.0
7,293.0
8,295.0
9,295.0
10,292.0
11,293.0
12,295.0
13,295.0
14,295.0
15,297.0
16,295.0
17,299.0
18,299.0
19,300.0
20,300.0
21,298.0
22,298.0
23,307.0
24,306.0
25,313.0
26,314.0
27,321.0
28,335.0
29,332.0
30,327.0
31,329.0
32,324.0
33,323.0
34,325.0
35,322.0
36,319.0
37,339.0
38,342.0
39,341.0
40,342.0
41,343.0
42,347.0
43,345.0
44,341.0
45,341.0
46,341.0
47,342.0
48,339.0
49,338.0
50,340.0
51,336.0
52,334.0
53,340.0
54,340.0
55,338.0
56,340.0
57,340.0
58,338.0
59,350.0
60,350.0
61,350.0
