frame,center
1,110.0
2,107.0
3,120.0
4,119.0
5,114.0
6,114.0
7,112.0
8,111.0
9,107.0
10,106.0
11,106.0
12,108.0
13,108.0
14,111.0
15,112.0
16,112.0
17,111.0
18,111.0
19,113.0
20,111.0
21,112.0
22,112.0
23,112.0
24,114.0
25,116.0
26,112.0
27,114.0
28,112.0
29,113.0
30,114.0
31,115.0
32,117.0
33,114.0
34,115.0
35,115.0
36,114.0
37,114.0
38,114.0
39,115.0
40,117.0
41,117.0
42,117.0
43,124.0
44,116.0
45,115.0
46,116.0
47,115.0
48,115.0
49,114.0
50,113.0
51,112.0
52,113.0
53,114.0
54,114.0
55,112.0
56,113.0
57,114.0
