frame,center,eyes_ratio,MOA
1,105.0,0.4485294117647058,0.8240419241993677
2,106.0,0.3111869747899159,0.7071067811865475
3,110.0,0.3371848739495798,0.7682212795973759
4,111.0,0.3497899159663865,0.861365903383803
5,111.0,0.7247899159663866,0.960906954427073
6,106.0,0.8455882352941176,0.7445694406464903
7,108.0,0.9705882352941176,0.8918272423909417
8,115.0,0.2565651260504201,0.9922778767136676
9,115.0,0.3111869747899159,0.8741572761215378
10,109.0,0.9375,0.9260923597695476
11,109.0,0.8660714285714286,0.894427190999916
12,114.0,0.3237920168067227,0.9145353377582852
13,113.0,0.2620798319327731,0.9145353377582852
14,104.0,0.8768382352941176,0.9021342216356464
15,103.0,0.9642857142857144,0.6699645207146371
16,107.0,0.934873949579832,0.9191450300180578
17,109.0,0.9054621848739496,0.9486832980505138
18,110.0,0.8768382352941176,0.9417419115948376
19,105.0,0.8768382352941176,0.6387553756534956
20,111.0,0.7515756302521008,0.9021342216356464
21,111.0,0.5422794117647058,0.9021342216356464
22,110.0,0.4674369747899159,0.861365903383803
23,108.0,0.8768382352941176,0.9532306376993182
24,111.0,0.5031512605042017,0.8944271909999159
25,111.0,0.3497899159663865,0.861365903383803
26,113.0,0.3237920168067227,0.8741572761215378
27,112.0,0.4128151260504201,0.861365903383803
28,109.0,0.3371848739495798,0.7682212795973759
29,107.0,0.2074579831932773,0.8795434461109204
30,104.0,0.623686974789916,0.9587981127083872
31,103.0,0.4138655462184873,0.9647638212377322
32,102.0,0.5619747899159664,0.9587981127083872
33,103.0,0.5294117647058824,0.894427190999916
34,106.0,0.243172268907563,0.8510360127996741
35,108.0,0.3371848739495798,0.8000000000000002
36,112.0,0.3497899159663865,0.7071067811865475
37,114.0,0.3371848739495798,0.8630144693469346
38,114.0,0.3237920168067227,0.813733471206735
39,113.0,0.4663865546218487,0.8630144693469346
40,115.0,0.2746848739495798,0.7452413135250994
41,104.0,0.934873949579832,0.7568230077691597
42,101.0,0.7844012605042017,0.813733471206735
43,113.0,0.3111869747899159,0.8630144693469346
44,115.0,0.3602941176470588,0.9570244044334736
45,108.0,0.6843487394957983,0.8795434461109204
46,112.0,0.4842436974789916,0.8944271909999159
47,112.0,0.5422794117647058,0.9304083928170916
48,110.0,0.3907563025210084,0.9021342216356464
49,97.0,0.5688025210084033,0.8729434821372647
50,95.0,0.6207983193277311,0.9374252720097652
51,96.0,0.4950105042016807,0.8436614877321075
52,93.0,0.5034138655462185,0.9682773237093576
53,91.0,0.3949579831932773,0.8682431421244593
54,96.0,0.4193802521008403,0.6
55,100.0,0.4138655462184873,0.9442001814457764
56,101.0,0.5173319327731093,0.9836065573770492
57,111.0,0.3363970588235294,0.8416940822656765
58,114.0,0.3497899159663865,0.8630144693469346
59,113.0,0.421218487394958,0.9021342216356464
60,113.0,0.6365546218487395,0.8944271909999159
61,112.0,0.449579831932773,0.9216353751380651
62,113.0,0.3497899159663865,0.861365903383803
63,113.0,0.3497899159663865,0.861365903383803
64,113.0,0.4663865546218487,0.9417419115948376
65,111.0,0.5031512605042017,0.894427190999916
66,110.0,0.3497899159663865,0.861365903383803
67,111.0,0.3497899159663865,0.861365903383803
68,111.0,0.7247899159663866,0.960906954427073
69,106.0,0.8455882352941176,0.7445694406464903
70,111.0,0.3497899159663865,0.861365903383803
