frame,center,eyes_ratio,MOA
1,49.0,0.4571428571428571,0.9838699100999074
2,46.0,0.4761904761904761,0.9982743731749958
3,39.0,0.5333333333333333,0.9161573349021892
4,39.0,0.6428571428571428,0.894427190999916
5,49.0,0.5333333333333333,0.9805806756909202
6,49.0,0.5952380952380952,0.9994801143396996
7,49.0,0.5476190476190477,0.7071067811865475
8,43.0,0.8,0.95577900872195
9,40.0,0.9571428571428572,0.9899494936611664
10,37.0,0.8142857142857143,0.8574929257125441
11,42.0,0.6904761904761905,1.0000000000000002
12,40.0,0.9428571428571428,0.970142500145332
13,52.0,0.4952380952380952,0.9907115796044094
14,48.0,0.8666666666666667,0.9982743731749958
15,33.0,0.638095238095238,0.6650877604251884
16,36.0,0.5380952380952381,0.8574929257125442
17,37.0,0.5523809523809524,0.9191450300180578
18,38.0,0.5333333333333333,0.9260923597695476
19,47.0,0.3571428571428571,0.9692307692307696
20,46.0,0.2285714285714286,0.9922778767136676
21,50.0,0.5476190476190477,0.9970544855015816
22,50.0,0.4761904761904761,0.9922778767136676
23,51.0,0.2428571428571428,0.9982743731749958
24,53.0,0.3666666666666667,0.9965457582448796
25,52.0,0.2571428571428571,0.9999999999999998
26,48.0,0.4571428571428571,0.9609725834417836
27,49.0,0.4523809523809524,0.9785497849867492
28,51.0,0.4761904761904761,0.9970544855015816
29,52.0,0.3619047619047619,1.0000000000000002
30,51.0,0.7142857142857142,1.0
31,50.0,0.3428571428571428,0.9551953674747636
32,41.0,0.5952380952380952,0.9801006064211448
33,46.0,0.4142857142857142,0.9973337235915658
34,41.0,0.7571428571428571,0.9872411207126472
35,45.0,0.9714285714285714,0.9892034623538708
36,42.0,0.6428571428571428,0.9871673987372204
37,47.0,0.4666666666666667,0.978549784986749
38,48.0,0.2285714285714286,0.9304083928170916
39,49.0,0.219047619047619,0.9761870601839528
40,44.0,0.9333333333333332,0.9934800715262958
41,47.0,0.7619047619047619,0.9647638212377322
42,47.0,0.7333333333333334,0.9984603532054124
43,52.0,0.5523809523809524,0.9907115796044094
44,43.0,0.7428571428571429,0.9988681377244376
45,38.0,0.9571428571428572,0.9965457582448796
46,39.0,0.8857142857142857,0.9982743731749958
47,48.0,0.7380952380952381,0.9995677544643532
48,48.0,0.1666666666666666,0.9984603532054124
49,48.0,0.3285714285714285,0.9582877607731984
50,46.0,0.2666666666666666,0.9421026317177148
51,49.0,0.1809523809523809,0.9778024140774096
52,50.0,0.3142857142857143,0.973417168333576
53,47.0,0.6857142857142857,0.9761870601839526
54,48.0,0.5714285714285714,0.9872411207126472
55,44.0,0.6190476190476191,0.9976303284229832
56,46.0,0.8333333333333334,1.0
57,53.0,0.1809523809523809,0.9615239476408232
58,53.0,0.1904761904761904,0.960906954427073
59,52.0,0.2571428571428571,0.9999999999999998
60,48.0,0.4571428571428571,0.9609725834417836
61,49.0,0.4523809523809524,0.9785497849867492
62,51.0,0.4761904761904761,0.9970544855015816
63,52.0,0.3619047619047619,1.0000000000000002
64,51.0,0.7142857142857142,1.0
65,50.0,0.3428571428571428,0.9551953674747636
66,41.0,0.5952380952380952,0.9801006064211448
67,46.0,0.4142857142857142,0.9973337235915658
68,41.0,0.7571428571428571,0.9872411207126472
69,45.0,0.9714285714285714,0.9892034623538708
70,52.0,0.2571428571428571,0.9999999999999998
