frame,eye_mouth_distance
1,60.52325644707393
2,59.76754882044856
3,57.0300302916973
4,54.800602374811554
5,54.59912347831036
6,52.32595150970365
7,53.06843783065329
8,52.08928245115335
9,51.50737465976204
10,50.34877751748967
11,50.86885844158953
12,54.29049937279681
13,54.38998918855781
14,53.204687169558945
15,54.29836432228864
16,53.534873060596134
17,54.5456953954892
18,53.96276947428668
19,55.332838722982956
20,55.87847131581254
21,56.47256758235468
22,56.428987542143645
23,55.932065031367294
24,56.22799323308726
25,55.650598453927294
26,55.919619977295966
27,55.30248525242446
28,54.742740837404625
29,53.93416864468832
30,54.19958549355417
31,54.02725552554601
32,52.788483248679896
33,52.73932918037744
34,53.04531074656541
35,53.014879852892825
36,53.78381995508808
37,53.17693279559457
38,55.53232768505623
39,53.96213891125974
40,54.57893407328988
41,53.53293848790815
42,55.69042797539173
43,56.99023450406706
44,55.663264726875376
45,53.82261631696204
46,56.15594277508378
47,57.669791352210474
48,56.306448186531455
49,56.989626978920796
50,55.62209143879561
51,56.17092562150982
52,55.4656210344808
53,55.43115902620699
54,54.67393679094724
55,52.211719718765906
56,54.29902194419062
57,53.181283925724976
58,54.27547388907289
59,54.334937784916235
60,53.47254297870364
61,52.70434332173573
62,
