file,frame_count,frame_last,lost_frame_count
1,62,62,0
2,63,63,0
3,84,84,0
4,53,53,0
5,52,56,4
6,60,60,0
7,56,56,0
8,75,75,0
9,61,61,0
10,72,72,0
11,53,53,0
12,56,59,3
13,42,42,0
14,60,60,0
15,58,58,0
16,58,58,0
17,64,64,0
18,51,51,0
19,61,61,0
20,63,63,0
21,61,61,0
22,61,61,0
23,61,61,0
24,48,48,0
25,61,61,0
26,64,64,0
27,75,75,0
28,71,71,0
29,66,66,0
30,51,52,1
31,58,58,0
32,61,61,0
33,61,61,0
34,60,60,0
35,75,75,0
36,77,77,0
37,49,49,0
38,77,77,0
39,68,68,0
40,57,57,0
41,58,58,0
42,49,49,0
43,51,51,0
44,54,54,0
45,45,70,25
46,32,72,40
47,14,72,58
48,61,61,0
49,60,60,0
50,61,61,0
51,61,61,0
52,8,52,44
53,61,61,0
54,61,61,0
55,61,61,0
56,61,61,0
57,48,48,0
58,21,44,23
59,55,55,0
60,73,73,0
61,77,77,0
62,74,74,0
63,76,76,0
64,77,77,0
65,76,76,0
66,60,60,0
67,51,51,0
68,60,60,0
69,53,55,2
70,85,85,0
71,85,85,0
72,83,87,4
73,84,84,0
74,46,74,28
75,60,60,0
76,71,71,0
77,51,57,6
78,59,70,11
79,49,49,0
80,58,58,0
81,53,53,0
82,55,55,0
83,60,60,0
84,76,76,0
85,74,74,0
86,81,81,0
87,54,54,0
88,71,71,0
89,56,56,0
90,53,54,1
91,75,75,0
92,77,77,0
93,78,78,0
94,0,78,78
95,69,69,0
96,67,67,0
97,65,65,0
98,75,75,0
99,55,76,21
100,74,74,0
101,78,78,0
102,79,79,0
103,77,77,0
104,74,74,0
105,61,61,0
106,60,60,0
107,48,48,0
108,55,55,0
109,56,56,0
110,58,58,0
111,52,52,0
112,51,51,0
113,77,77,0
114,75,75,0
115,62,62,0
116,56,78,22
117,61,61,0
118,61,61,0
119,73,73,0
120,49,49,0
121,51,59,8
122,57,57,0
123,72,72,0
124,74,74,0
125,76,76,0
126,54,54,0
127,57,57,0
128,68,68,0
129,72,72,0
130,77,77,0
131,77,77,0
132,49,57,8
133,71,73,2
134,61,61,0
135,61,61,0
136,57,57,0
137,53,53,0
138,1,34,33
139,76,76,0
140,70,70,0
141,80,80,0
142,80,80,0
143,79,79,0
144,76,76,0
145,75,75,0
146,61,61,0
147,70,70,0
148,76,76,0
149,76,76,0
150,74,74,0
151,54,54,0
152,19,62,43
153,61,61,0
154,61,61,0
155,55,55,0
156,76,76,0
157,74,74,0
158,61,61,0
159,61,61,0
160,64,64,0
161,56,56,0
162,63,63,0
163,15,57,42
164,50,50,0
165,52,52,0
166,58,58,0
167,68,68,0
168,61,61,0
169,61,61,0
170,62,62,0
171,56,56,0
172,60,60,0
173,61,61,0
174,61,61,0
175,61,61,0
176,75,75,0
177,45,45,0
178,71,71,0
179,75,75,0
180,61,61,0
181,54,54,0
182,60,60,0
183,57,57,0
184,26,52,26
185,77,77,0
186,74,74,0
187,78,79,1
188,77,77,0
189,78,78,0
190,61,61,0
191,73,73,0
192,72,72,0
193,54,54,0
194,9,80,71
195,41,41,0
196,59,62,3
197,62,62,0
198,60,60,0
199,60,60,0
200,78,78,0
201,66,66,0
202,60,60,0
203,74,74,0
204,74,74,0
205,78,78,0
206,77,77,0
207,78,78,0
208,74,74,0
209,62,77,15
210,80,80,0
211,78,78,0
212,60,61,1
213,61,61,0
214,61,61,0
215,53,53,0
