file,frame_count,frame_last,lost_frame_count
1,77,77,0
2,76,76,0
3,61,61,0
4,73,73,0
5,77,77,0
6,60,60,0
7,60,60,0
8,60,60,0
9,61,61,0
10,61,61,0
11,78,78,0
12,43,43,0
13,77,77,0
14,77,77,0
15,69,69,0
16,73,73,0
17,76,76,0
18,77,77,0
19,72,72,0
20,74,74,0
21,78,78,0
22,61,61,0
23,58,58,0
24,61,61,0
25,51,51,0
26,59,59,0
27,59,59,0
28,80,80,0
29,79,79,0
30,77,77,0
31,80,80,0
32,68,68,0
33,38,38,0
34,61,61,0
35,57,57,0
36,69,69,0
37,60,60,0
38,54,54,0
39,72,72,0
40,60,60,0
41,61,61,0
42,78,78,0
43,78,78,0
44,78,78,0
45,79,79,0
46,73,73,0
47,55,55,0
48,61,61,0
49,55,55,0
50,61,61,0
51,61,61,0
52,55,55,0
53,76,76,0
54,74,74,0
55,84,84,0
56,61,61,0
57,60,60,0
58,72,72,0
59,74,74,0
60,76,76,0
61,73,73,0
62,76,76,0
63,61,61,0
64,61,61,0
65,61,61,0
66,68,68,0
67,72,72,0
68,74,74,0
69,75,75,0
70,74,74,0
71,73,73,0
72,72,72,0
73,77,77,0
74,71,71,0
75,61,61,0
76,61,61,0
77,76,76,0
78,29,29,0
79,65,65,0
80,65,65,0
81,61,61,0
82,60,60,0
83,61,61,0
84,61,61,0
85,49,49,0
86,75,75,0
87,77,77,0
88,60,60,0
89,58,58,0
90,73,73,0
91,72,72,0
92,72,72,0
93,72,72,0
94,73,73,0
95,68,68,0
96,71,71,0
97,61,61,0
98,73,73,0
99,61,61,0
100,61,61,0
101,61,61,0
102,61,61,0
103,60,60,0
104,61,61,0
105,54,54,0
106,76,76,0
107,71,71,0
108,75,75,0
109,75,75,0
110,61,61,0
111,75,75,0
112,75,75,0
113,54,54,0
114,61,61,0
115,75,75,0
116,61,61,0
117,71,71,0
118,68,68,0
119,70,70,0
120,69,69,0
121,79,79,0
122,79,79,0
123,50,50,0
124,77,77,0
125,61,61,0
126,60,60,0
127,61,61,0
128,61,61,0
129,61,61,0
130,55,55,0
131,75,75,0
132,72,72,0
